Estrategia,Tempo_Total_s,Filosofo_0_Refeicoes,Filosofo_1_Refeicoes,Filosofo_2_Refeicoes,Filosofo_3_Refeicoes,Filosofo_4_Refeicoes
deadlock,5.3191,6,5,6,6,6
corrected,10.5027,13,13,15,11,11
